category,id,player1_name,player1_odds,player2_name,player2_odds,score,surface,timestamp,title,winner
ATP,2011-11-09-Kohlschreiber P-Dolgopolov A,Kohlschreiber P.,1.56,Dolgopolov A.,2.35,0:2,hard,2011-11-09 13:05,ATP Paris 2011,2
ATP,2011-11-09-Djokovic N-Dodig I,Djokovic N.,1.26,Dodig I.,3.81,2:0,hard,2011-11-09 13:15,ATP Paris 2011,1
ATP,2011-11-09-Kunitsyn I-Isner J,Kunitsyn I.,4.25,Isner J.,1.21,0:2,hard,2011-11-09 14:50,ATP Paris 2011,2
ATP,2011-11-09-Mannarino A-Federer R,Mannarino A.,13.5,Federer R.,1.02,0:2,hard,2011-11-09 15:15,ATP Paris 2011,2
ATP,2011-11-09-Almagro N-Seppi A,Almagro N.,2.07,Seppi A.,1.71,0:2,hard,2011-11-09 17:00,ATP Paris 2011,2
ATP,2011-11-09-Fish M-Mayer F,Fish M.,1.84,Mayer F.,1.88,2:0,hard,2011-11-09 18:15,ATP Paris 2011,1
ATP,2011-11-09-Lopez F-Monfils G,Lopez F.,3.0,Monfils G.,1.37,2:0,hard,2011-11-09 18:50,ATP Paris 2011,1
ATP,2011-11-09-Monaco J-Simon G,Monaco J.,2.15,Simon G.,1.66,2:0,hard,2011-11-09 20:35,ATP Paris 2011,1
ATP,2011-11-10-Roddick A-Murray A,Roddick A.,5.35,Murray A.,1.14,0:2,hard,2011-11-10 09:45,ATP Paris 2011,2
ATP,2011-11-10-Berdych T-Tipsarevic J,Berdych T.,1.99,Tipsarevic J.,1.77,2:0,hard,2011-11-10 10:10,ATP Paris 2011,1
ATP,2011-11-10-Djokovic N-Troicki V,Djokovic N.,1.23,Troicki V.,4.05,2:1,hard,2011-11-10 11:10,ATP Paris 2011,1
ATP,2011-11-10-Ferrer D-Dolgopolov A,Ferrer D.,1.25,Dolgopolov A.,3.86,2:0,hard,2011-11-10 12:10,ATP Paris 2011,1
ATP,2011-11-10-Seppi A-Tsonga J-W,Seppi A.,4.31,Tsonga J-W.,1.21,0:2,hard,2011-11-10 13:30,ATP Paris 2011,2
ATP,2011-11-10-Gasquet R-Federer R,Gasquet R.,5.9,Federer R.,1.12,0:2,hard,2011-11-10 18:40,ATP Paris 2011,2
ATP,2011-11-10-Isner J-Lopez F,Isner J.,1.99,Lopez F.,1.77,2:0,hard,2011-11-10 20:15,ATP Paris 2011,1
ATP,2011-11-11-Berdych T-Murray A,Berdych T.,4.71,Murray A.,1.18,2:1,hard,2011-11-11 13:15,ATP Paris 2011,1
ATP,2011-11-11-Monaco J-Federer R,Monaco J.,10.08,Federer R.,1.05,0:2,hard,2011-11-11 16:50,ATP Paris 2011,2
ATP,2011-11-11-Ferrer D-Isner J,Ferrer D.,1.38,Isner J.,2.98,1:2,hard,2011-11-11 18:50,ATP Paris 2011,2
ATP,2011-11-12-Federer R-Berdych T,Federer R.,1.32,Berdych T.,3.37,2:0,hard,2011-11-12 13:10,ATP Paris 2011,1
ATP,2011-11-12-Tsonga J-W-Isner J,Tsonga J-W.,1.42,Isner J.,2.79,2:1,hard,2011-11-12 16:10,ATP Paris 2011,1
ATP,2011-11-13-Tsonga J-W-Federer R,Tsonga J-W.,3.88,Federer R.,1.26,0:2,hard,2011-11-13 14:15,ATP Paris 2011,2
WTA,2011-12-30-Voegele S-Peers S,Voegele S.,1.38,Peers S.,2.85,2:0,hard,2011-12-30 04:45,WTA Brisbane 2012,1
WTA,2011-12-30-Tatishvili A-Adamczak M,Tatishvili A.,1.27,Adamczak M.,3.52,2:1,hard,2011-12-30 04:50,WTA Brisbane 2012,1
WTA,2011-12-30-Dushevina V-Holland I,Dushevina V.,1.12,Holland I.,5.63,2:0,hard,2011-12-30 04:55,WTA Brisbane 2012,1
WTA,2011-12-30-Minella M-Duque-Marino M,Minella M.,1.81,Duque-Marino M.,1.81,2:0,hard,2011-12-30 05:05,WTA Brisbane 2012,1
WTA,2011-12-30-King V-Barty A,King V.,1.31,Barty A.,3.0,2:0,hard,2011-12-30 06:05,WTA Brisbane 2012,1
WTA,2011-12-30-Rus A-Parra-Santonja A,Rus A.,1.5,Parra-Santonja A.,2.5,1:2,hard,2011-12-30 06:30,WTA Brisbane 2012,2
WTA,2011-12-30-Rodionova An-Jani R-L,Rodionova An.,1.33,Jani R-L.,3.25,2:0,hard,2011-12-30 07:20,WTA Brisbane 2012,1
WTA,2011-12-31-Keothavong A-Fanning E,Keothavong A.,1.03,Fanning E.,15.0,2:0,hard,2011-12-31 03:20,WTA Auckland 2012,1
WTA,2011-12-31-Lepchenko V-Rampre P,Lepchenko V.,1.33,Rampre P.,3.25,2:0,hard,2011-12-31 03:50,WTA Auckland 2012,1
WTA,2011-12-31-Mirza S-Vandeweghe C,Mirza S.,1.72,Vandeweghe C.,2.0,1:2,hard,2011-12-31 04:10,WTA Auckland 2012,2
WTA,2011-12-31-Hampton J-Sestini Hlavackova A,Hampton J.,2.0,Sestini Hlavackova A.,1.72,2:0,hard,2011-12-31 05:25,WTA Auckland 2012,1
WTA,2011-12-31-Lertcheewakarn N-Rezai A,Lertcheewakarn N.,2.2,Rezai A.,1.61,1:2,hard,2011-12-31 06:40,WTA Auckland 2012,2
ATP,2011-12-31-Wagh A-Huey T,Wagh A.,2.25,Huey T.,1.57,0:2,hard,2011-12-31 07:00,ATP Chennai 2012,2
